transition_stress,crew_capacity,status,objective_value,first_asset,first_cycle,max_failure_probability_at_maintenance
0.7,1,OPTIMAL,140915.39508963432,104,1,0.44111431999999995
0.7,2,OPTIMAL,92810.88650112,102,1,0.44111431999999995
1.0,1,OPTIMAL,178800.393854464,104,1,0.566168
1.0,2,OPTIMAL,110959.37184,102,1,0.566168
1.3,1,OPTIMAL,216469.56321458687,104,1,0.6733959199999999
1.3,2,OPTIMAL,128846.38117248,102,1,0.6733959199999999
1.6,1,OPTIMAL,253088.1715753281,104,1,0.76279808
1.6,2,OPTIMAL,146412.73457664,102,1,0.76279808
2.0,1,OPTIMAL,299114.844750848,104,1,0.8542719999999999
2.0,2,OPTIMAL,169233.45472,102,1,0.8542719999999999
